Data,Valoarea
11/18/2019,2947
11/19/2019,9648
11/20/2019,4185
11/21/2019,7842
11/22/2019,2405
11/23/2019,7842
11/24/2019,9425
11/25/2019,9442
11/26/2019,4363
11/27/2019,8074
11/28/2019,1642
11/29/2019,2006
11/30/2019,2611
12/1/2019,9133
12/2/2019,766
12/3/2019,417
12/4/2019,4299
12/5/2019,8820
12/6/2019,1270
12/7/2019,5344
12/8/2019,4566
12/9/2019,3443
12/10/2019,1884
12/11/2019,2069
12/12/2019,6293
12/13/2019,1279
12/14/2019,1371
12/15/2019,6784
12/16/2019,2156
12/17/2019,5839
12/18/2019,5770
12/19/2019,5327
12/20/2019,4721
12/21/2019,2097
12/22/2019,4905
12/23/2019,1812
12/24/2019,738
12/25/2019,2055
12/26/2019,2601
12/27/2019,2527
12/28/2019,2391
12/29/2019,4385
12/30/2019,8311
12/31/2019,4760
1/1/2020,7707
1/2/2020,5557
1/3/2020,1718
1/4/2020,832
1/5/2020,5084
1/6/2020,8535
1/7/2020,8764
1/8/2020,8779
1/9/2020,1831
1/10/2020,7382
1/11/2020,6873
1/12/2020,2161
1/13/2020,1978
1/14/2020,2620
1/15/2020,9277
1/16/2020,9106
1/17/2020,2402
1/18/2020,4406
1/19/2020,1237
1/20/2020,1942
1/21/2020,2319
1/22/2020,878
1/23/2020,9303
1/24/2020,10772
1/25/2020,4985
1/26/2020,2403
1/27/2020,1912
1/28/2020,1409
1/29/2020,4766
1/30/2020,2222
1/31/2020,1160
2/1/2020,9029
2/2/2020,8540
2/3/2020,1352
2/4/2020,865
2/5/2020,4109
2/6/2020,10623
2/7/2020,4191
2/8/2020,11611
2/9/2020,13057
2/10/2020,1038
2/11/2020,6292
2/12/2020,10758
2/13/2020,10167
2/14/2020,1272
2/15/2020,10385
2/16/2020,13606
2/17/2020,10520
2/18/2020,5201
2/19/2020,14215
2/20/2020,4253
2/21/2020,1682
2/22/2020,14384
2/23/2020,6163
2/24/2020,13529
2/25/2020,14765
2/26/2020,2261
2/27/2020,6225
2/28/2020,1456
2/29/2020,11389
3/1/2020,4532
3/2/2020,9895
3/3/2020,6576
3/4/2020,1423
3/5/2020,9110
3/6/2020,4024
3/7/2020,2283
3/8/2020,7632
3/9/2020,6933
3/10/2020,11560
3/11/2020,3263
3/12/2020,12421
3/13/2020,2809
3/14/2020,15204
3/15/2020,19079
3/16/2020,17169
3/17/2020,17225
3/18/2020,16080
3/19/2020,16197
3/20/2020,16317
3/21/2020,13646
3/22/2020,8102
3/23/2020,4999
3/24/2020,14535
3/25/2020,9350
3/26/2020,13556
3/27/2020,17619
3/28/2020,14649
3/29/2020,17004
3/30/2020,9876
3/31/2020,20320
4/1/2020,19957
4/2/2020,19247
4/3/2020,18570
4/4/2020,18895
4/5/2020,18544
4/6/2020,18460
4/7/2020,18422
4/8/2020,18052
4/9/2020,18073
4/10/2020,18102
4/11/2020,19283
4/12/2020,18987
4/13/2020,11074
4/14/2020,7274
4/15/2020,18757
4/16/2020,20011
4/17/2020,18062
4/18/2020,12708
4/19/2020,6442
4/20/2020,21295
4/21/2020,18435
4/22/2020,19865
4/23/2020,19111
4/24/2020,19526
4/25/2020,13259
4/26/2020,16249
4/27/2020,14938
4/28/2020,13166
4/29/2020,12591
4/30/2020,9322
5/1/2020,10825
5/2/2020,16417
5/3/2020,8548
5/4/2020,7828
5/5/2020,9836
5/6/2020,12307
5/7/2020,18729
5/8/2020,20088
5/9/2020,18519
5/10/2020,15638
5/11/2020,16612
5/12/2020,9024
5/13/2020,15127
5/14/2020,10143
5/15/2020,17041
5/16/2020,18860
5/17/2020,3983
5/18/2020,20246
5/19/2020,9453
5/20/2020,5718
5/21/2020,21398
5/22/2020,21946
5/23/2020,19932
5/24/2020,6732
5/25/2020,14724
5/26/2020,18472
5/27/2020,16071
5/28/2020,17536
5/29/2020,11588
5/30/2020,14175
5/31/2020,7465
6/1/2020,11180
6/2/2020,16793
6/3/2020,15253
6/4/2020,13299
6/5/2020,11442
6/6/2020,8789
6/7/2020,16616
6/8/2020,14970
6/9/2020,13755
6/10/2020,11956
6/11/2020,9313
6/12/2020,12236
6/13/2020,16469
6/14/2020,18110
6/15/2020,6198
6/16/2020,6769
6/17/2020,6071
6/18/2020,10025
6/19/2020,11411
6/20/2020,7688
6/21/2020,5582
6/22/2020,8242
6/23/2020,12026
6/24/2020,14790
6/25/2020,18240
6/26/2020,16093
6/27/2020,18540
6/28/2020,17951
6/29/2020,17793
6/30/2020,14328
7/1/2020,18852
7/2/2020,14834
7/3/2020,8670
7/4/2020,11379
7/5/2020,19292
7/6/2020,18456
7/7/2020,8741
7/8/2020,17770
7/9/2020,15747
7/10/2020,18581
7/11/2020,17379
7/12/2020,5332
7/13/2020,17282
7/14/2020,20642
7/15/2020,15058
7/16/2020,16213
7/17/2020,14624
7/18/2020,4640
7/19/2020,9776
7/20/2020,10747
7/21/2020,16063
7/22/2020,12845
7/23/2020,10818
7/24/2020,18083
7/25/2020,6174
7/26/2020,9605
7/27/2020,14549
7/28/2020,17388
7/29/2020,17266
7/30/2020,15033
7/31/2020,17567
8/1/2020,19796
8/2/2020,18632
8/3/2020,17218
8/4/2020,14912
8/5/2020,11412
8/6/2020,15490
8/7/2020,15264
8/8/2020,13726
8/9/2020,17275
8/10/2020,17397
8/11/2020,15237
8/12/2020,18284
8/13/2020,18049
8/14/2020,15768
8/15/2020,7484
8/16/2020,6076
8/17/2020,15618
8/18/2020,11195
8/19/2020,4124
8/20/2020,14260
8/21/2020,16590
8/22/2020,17255
8/23/2020,15485
8/24/2020,15114
8/25/2020,8131
8/26/2020,17122
8/27/2020,18025
8/28/2020,16988
8/29/2020,16224
8/30/2020,16517
8/31/2020,13569
9/1/2020,6158
9/2/2020,11101
9/3/2020,11272
9/4/2020,17497
9/5/2020,16514
9/6/2020,16631
9/7/2020,15211
9/8/2020,17566
9/9/2020,16811
9/10/2020,15583
9/11/2020,15048
9/12/2020,13809
9/13/2020,14196
9/14/2020,15702
9/15/2020,14751
9/16/2020,14583
9/17/2020,12903
9/18/2020,16810
9/19/2020,14870
9/20/2020,13111
9/21/2020,14735
9/22/2020,14758
9/23/2020,9047
9/24/2020,11268
9/25/2020,11793
9/26/2020,2003
9/27/2020,14010
9/28/2020,3210
9/29/2020,2886
9/30/2020,1228
10/1/2020,2963
10/2/2020,11925
10/3/2020,11989
10/4/2020,9860
10/5/2020,8491
10/6/2020,6996
10/7/2020,4859
10/8/2020,2289
10/9/2020,11270
10/10/2020,9247
10/11/2020,6546
10/12/2020,6988
10/13/2020,880
10/14/2020,6756
10/15/2020,6336
10/16/2020,6715
10/17/2020,5098
10/18/2020,1989
10/19/2020,6760
10/20/2020,13610
10/21/2020,10602
10/22/2020,13252
10/23/2020,11450
10/24/2020,3067
10/25/2020,1222
10/26/2020,7521
10/27/2020,11244
10/28/2020,9524
10/29/2020,7141
10/30/2020,7276
10/31/2020,3283
11/1/2020,12195
11/2/2020,2622
11/3/2020,2326
11/4/2020,1720
11/5/2020,869
11/6/2020,11420
11/7/2020,10907
11/8/2020,11030
11/9/2020,10647
11/10/2020,1050
11/11/2020,1254
11/12/2020,905
11/13/2020,1143
11/14/2020,2350
11/15/2020,4536
11/16/2020,3217
11/17/2020,1465
11/18/2020,3052
11/19/2020,9443
11/20/2020,768
11/21/2020,6143
11/22/2020,9863
11/23/2020,1847
11/24/2020,9229
11/25/2020,1263
11/26/2020,1324
11/27/2020,667
11/28/2020,1154
11/29/2020,3209
11/30/2020,3591
12/1/2020,9130
12/2/2020,7194
12/3/2020,4467
12/4/2020,4095
12/5/2020,8099
12/6/2020,7506
12/7/2020,1990
12/8/2020,2254
12/9/2020,6267
12/10/2020,1170
12/11/2020,993
12/12/2020,2522
12/13/2020,950
12/14/2020,887
12/15/2020,655
12/16/2020,1443
12/17/2020,1394
12/18/2020,492
12/19/2020,460
12/20/2020,870
12/21/2020,924
12/22/2020,1694
12/23/2020,706
12/24/2020,702
12/25/2020,871
12/26/2020,3227
12/27/2020,1773
12/28/2020,3392
12/29/2020,8234
12/30/2020,1781
12/31/2020,753
1/1/2021,6050
1/2/2021,8009
1/3/2021,806
1/4/2021,873
1/5/2021,600
1/6/2021,1995
1/7/2021,2989
1/8/2021,1718
1/9/2021,8264
1/10/2021,4608
1/11/2021,651
1/12/2021,525
1/13/2021,382
1/14/2021,86
1/15/2021,47
1/16/2021,523
1/17/2021,419
1/18/2021,465
1/19/2021,204
1/20/2021,1895
1/21/2021,7382
1/22/2021,3020
1/23/2021,2438
1/24/2021,2269
1/25/2021,751
1/26/2021,5853
1/27/2021,9853
1/28/2021,7050
1/29/2021,1055
1/30/2021,5589
1/31/2021,642
2/1/2021,1467
2/2/2021,1351
2/3/2021,4653
2/4/2021,7216
2/5/2021,1649
2/6/2021,1128
2/7/2021,3924
2/8/2021,1127
2/9/2021,5511
2/10/2021,2358
2/11/2021,238
2/12/2021,689
2/13/2021,3940
2/14/2021,7692
2/15/2021,13864
2/16/2021,13349
2/17/2021,3010
2/18/2021,2365
2/19/2021,3671
2/20/2021,4576
2/21/2021,13492
2/22/2021,14463
2/23/2021,13698
2/24/2021,12155
2/25/2021,12926
2/26/2021,9506
2/27/2021,7465
2/28/2021,15374
3/1/2021,14300
3/2/2021,15232
3/3/2021,15542
3/4/2021,6808
3/5/2021,7672
3/6/2021,13855
3/7/2021,16942
3/8/2021,15933
3/9/2021,16402
3/10/2021,15561
3/11/2021,15550
3/12/2021,7063
3/13/2021,15732
3/14/2021,4686
3/15/2021,1890
3/16/2021,3332
3/17/2021,5064
3/18/2021,6135
3/19/2021,13730
3/20/2021,14809
3/21/2021,16758
3/22/2021,6176
3/23/2021,9514
3/24/2021,19491
3/25/2021,18629
3/26/2021,14936
3/27/2021,16951
3/28/2021,10895
3/29/2021,13474
3/30/2021,12729
3/31/2021,8959
4/1/2021,12279
4/2/2021,10106
4/3/2021,8378
4/4/2021,13540
4/5/2021,19489
4/6/2021,3518
4/7/2021,13217
4/8/2021,10649
4/9/2021,19314
4/10/2021,18678
4/11/2021,16523
4/12/2021,17268
4/13/2021,3218
4/14/2021,4560
4/15/2021,6297
4/16/2021,8669
4/17/2021,14980
4/18/2021,4727
4/19/2021,6847
4/20/2021,7208
4/21/2021,16360
4/22/2021,16553
4/23/2021,17080
4/24/2021,20240
4/25/2021,18383
4/26/2021,18690
4/27/2021,13649
4/28/2021,7807
4/29/2021,14667
4/30/2021,10916
5/1/2021,9288
5/2/2021,14146
5/3/2021,18865
5/4/2021,20053
5/5/2021,15607
5/6/2021,18164
5/7/2021,3330
5/8/2021,16935
5/9/2021,20037
5/10/2021,19476
5/11/2021,18888
5/12/2021,18404
5/13/2021,13715
5/14/2021,10260
5/15/2021,18959
5/16/2021,8533
5/17/2021,15129
5/18/2021,5547
5/19/2021,15232
5/20/2021,6239
5/21/2021,20026
5/22/2021,11788
5/23/2021,14014
5/24/2021,15071
5/25/2021,17989
5/26/2021,20211
5/27/2021,19601
5/28/2021,15136
5/29/2021,12063
5/30/2021,13785
5/31/2021,14523
6/1/2021,20099
6/2/2021,17043
6/3/2021,17476
6/4/2021,18272
6/5/2021,17157
6/6/2021,20398
6/7/2021,19083
6/8/2021,19965
6/9/2021,19041
6/10/2021,15652
6/11/2021,19143
6/12/2021,17881
6/13/2021,13742
6/14/2021,11010
6/15/2021,18343
6/16/2021,19652
6/17/2021,17894
6/18/2021,18713
6/19/2021,18156
6/20/2021,18837
6/21/2021,14117
6/22/2021,14649
6/23/2021,17748
6/24/2021,16998
6/25/2021,16912
6/26/2021,13983
6/27/2021,18720
6/28/2021,14122
6/29/2021,17486
